title,description,bedrooms,bathrooms,toilets,location,city,price
Luxury 3 Bedroom Apartment with Excellent Facilities,3 Bedroom Flat & Apartment,3,3,4,"Ikoyi, Banana Island, Ikoyi",Ikoyi,12000000
6 Units of 3 Bedroom Flats with Park View,3 Bedroom Flat & Apartment,3,3,4,"Ikoyi, Banana Island, Ikoyi",Ikoyi,7000000
Furnished 3 Bedroom Mansion with Nice Interior Decorations,3 Bedroom Flat & Apartment,3,3,4,"Ikoyi , Banana Island, Ikoyi",Ikoyi,36000000
Luxury 3 Bedroom Maansbay with Excellent Facilities and Water View,3 Bedroom Flat & Apartment,3,3,4,"Ikoyi , Banana Island, Ikoyi",Ikoyi,5000000
Newly Built 2 Bedroom Apartment with Swimming Area,2 Bedroom Flat & Apartment,2,2,3,"Ikoyi, Banana Island, Ikoyi",Ikoyi,13000000
12 Units of 3 Bedroom Flat with Amazing Facilities,3 Bedroom Flat & Apartment,3,3,4,"Ikoyi, Banana Island, Ikoyi",Ikoyi,12000000
Upscale 3 Bedroom Tango Tower with Amazing Facilities,3 Bedroom Flat & Apartment,3,3,4,"Ikoyi , Banana Island, Ikoyi",Ikoyi,13000000
Newly Built 3 Bedroom Apartment with Swimming Area,3 Bedroom Flat & Apartment,3,3,4,"Ikoyi, Banana Island, Ikoyi",Ikoyi,10000000
Newly Built 3 Bedroom Apartment with Park View,3 Bedroom Flat & Apartment,3,3,4,"Ikoyi , Banana Island, Ikoyi",Ikoyi,5000000
Furnished 2 Bedroom Apartment with Excellent Facilities,2 Bedroom Flat & Apartment,2,2,3,"Ikoyi, Banana Island, Ikoyi",Ikoyi,6000000
Spacious 4 Bedroom Apartment with Excellent Facilities,4 Bedroom Flat & Apartment,4,4,5,"Ikoyi , Banana Island, Ikoyi",Ikoyi,15000000
4 Bedroom Townhouse for Rent in Oniru,4 Bedroom Townhouse,4,4,5,"Oniru, Victoria Island",Victoria Island,5000000
3 Bedroom Terrace for Rent in Lekki Phase 1 | Lekki Phase 2,3 Bedroom Terrace,3,3,4,"Lekki Phase 1, Lekki",Lekki,3000000
Tastefully Finished Four Bedroom Duplex With 2 Rooms Bq,4 Bedroom Duplex,4,4,5,"Victoria Arubieke, Lekki Phase 1, Lekki",Lekki,4500000
Premium 3 Bedroom Apartment with Swimming Area,3 Bedroom Flat & Apartment,3,3,4,"Ikoyi, Banana Island, Ikoyi",Ikoyi,15000000
"Newly Built 3 Bedroom Apartment with 1 Bq, Swimming Area and Ample Parking Space",3 Bedroom Flat & Apartment,3,3,4,"Ikoyi , Banana Island, Ikoyi",Ikoyi,10000000
Brand New 2 Bedroom Apartment with Generator (7 to 7) and Ample Parking Space,2 Bedroom Flat & Apartment,2,2,3,"Ikoyi , Banana Island, Ikoyi",Ikoyi,4000000
"Serviced 4 Bedroom Pent House in Banana Island, Ikoyi",4 Bedroom Flat & Apartment,4,4,5,"Ikoyi , Banana Island, Ikoyi",Ikoyi,20000000
Upscale 2 Bedroom Apartment with Swimming Area and Ample Parking Space,2 Bedroom Flat & Apartment,2,2,3,"Ikoyi, Banana Island, Ikoyi",Ikoyi,6000000
Spacious 3 Bedroom Apartment with Excellent Facilities,3 Bedroom Flat & Apartment,3,3,4,"Ikoyi , Banana Island, Ikoyi",Ikoyi,13500000
Newly Built 3 Bedroom Apartment in a Serene Neighbourhood in Banana Island,3 Bedroom Flat & Apartment,3,3,4,"Ikoyi , Banana Island, Ikoyi",Ikoyi,6000000
"Newly Built 3 Bedroom Apartment with Swimming Area, Water View, Elevator, & Fully Fitted Kitchen",3 Bedroom Flat & Apartment,3,3,4,"Ikoyi, Banana Island, Ikoyi",Ikoyi,15000000
Luxury 3 Bedroom Apartment with Gunnite Swimming Area and Gym,3 Bedroom Flat & Apartment,3,3,4,"Ikoyi, Banana Island, Ikoyi",Ikoyi,5000000
Luxury 3 Bedroom Apartment with Excellent Facilities,3 Bedroom Flat & Apartment,3,3,4,"Ikoyi, Banana Island, Ikoyi",Ikoyi,12000000
